캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자
청도신화랑 풍류마을 오토캠핑장,일반야영장,35.7168101,128.9212409,경상북도 청도군 운문면방지리 150-7,0,43,0,0,1,1,1,21,0,0,0,"전기,무선인터넷,온수,놀이터,마트.편의점","VR처험실, 전시실, 명상실, 국궁장",2019-07-12,2018-01-10
청도프로방스 카라반캠핑카펜션 (청도 카라반 펜션),"일반야영장,카라반",35.6876454,128.7153318,경상북도 청도군 화양읍 이슬미로 297-41,0,0,0,3,3,3,3,3,0,0,3,"전기,무선인터넷,온수",,2019-07-12,2016-12-22
청도프로방스불빛축제카라반펜션 ,카라반,35.6798432,128.7064353,경상북도 청도군 이슬미로 278 ,0,0,0,6,6,6,6,6,0,0,6,"전기,온수",,2019-07-12,2016-08-05
청량산 나무네숲 캠핑장 ,일반야영장,36.8334798,128.8865062,경상북도 봉화군 명호면 청량로 763-81 ,37,0,0,0,2,2,1,20,0,0,0,"전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,마트.편의점",,2019-07-12,2017-03-06
청량산캠핑장,일반야영장,36.7870825,128.8916461,경상북도 봉화군 명호면 관창리 1726-1,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2017-03-27
청산 캠프 ,자동차야영장,37.3308928,128.2747312,강원 영월군 무릉도원면 무릉법흥로 782-10,0,40,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,운동시설",,2019-07-12,2015-07-20
청산관광농원 캠핑장 ,일반야영장,36.0130043,127.2536811,전라북도 완주군 경천면 ,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2016-02-03
트리독스 애견전용캠핑장(청산관광농원),일반야영장,35.6504808,128.2300669,경상북도 고령군 쌍림면 용당길 42-56 ,0,11,0,0,2,2,2,14,2,2,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,마트.편의점",,2019-07-12,2017-04-27
청산별곡 ,일반야영장,35.4357242,127.2670221,전라북도 순창군 수장2길 38-4 ,0,10,0,0,1,1,1,40,0,0,0,"전기,무선인터넷,장작판매,온수,산책로",,2019-07-12,2016-07-27
청산야영장,일반야영장,36.8178666,126.2800991,충청남도 태안군 원북면 청산리 254-11 ,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2019-07-12,2016-08-17
